,word,sent,order,search_word,relation
0,Chow Chow,chowchow is a type of conserve.,3,chowchow,IsA
1,Chow Chow,kiinalainen pikkelssi is a translation of chowchow.,3,chowchow,Synonym
2,Chow Chow,mostaza chow chow is a translation of chowchow.,3,chowchow,Synonym
3,Chow Chow,chowchow is a type of relish.,3,chowchow,IsA
4,gar fish,garfish is a synonym of gar.,3,garfish,Synonym
5,trash can,You are likely to find garbage in a trashcan.,3,trashcan,AtLocation
6,trash can,You are likely to find a disposable razor in the trashcan.,3,trashcan,AtLocation
7,trash can,You are likely to find a cat in a trashcan.,3,trashcan,AtLocation
8,Band-Aid,a bandaid may cover a small wound.,3,bandaid,CapableOf
9,bottle cap,tapa de botella is a translation of bottlecap.,3,bottlecap,Synonym
10,bottle cap,bottlecap is a type of cap.,3,bottlecap,IsA
11,bottle cap,bottlecap is a part of bottle.,3,bottlecap,PartOf
12,bottle cap,tapoi is a translation of bottlecap.,3,bottlecap,Synonym
13,bottle cap,pullonkorkki is a translation of bottlecap.,3,bottlecap,Synonym
14,bottle cap,A bottlecap is part of a bottle.,3,bottlecap,PartOf
15,bow tie,bowtie is a synonym of bow tie.,3,bowtie,Synonym
16,can opener,a canopener can open a can.,3,canopener,CapableOf
17,tool kit,You are likely to find a Phillips head screwdriver in a toolkit.,3,toolkit,AtLocation
18,tool kit,You are likely to find a screwdriver in toolkit.,3,toolkit,AtLocation
19,container ship,containership is a synonym of container ship.,3,containership,Synonym
20,dog sled,dogsled is a synonym of mush.,3,dogsled,Synonym
21,dog sled,koirareki is a translation of dogsled.,3,dogsled,Synonym
22,dog sled,dogsled is used in the region of Canada.,3,dogsled,HasContext
23,dog sled,dogsled is a type of sled.,3,dogsled,IsA
24,dog sled,dog sleigh is a synonym of dogsled.,3,dogsled,Synonym
25,dog sled,koiravaljakko is a translation of dogsled.,3,dogsled,Synonym
26,dog sled,dog sled is a synonym of dogsled.,3,dogsled,Synonym
27,fire truck,red is related to firetruck.,3,firetruck,RelatedTo
28,golf cart,Golfette is a translation of golfcart.,3,golfcart,Synonym
29,golf cart,kereta golf is a translation of golfcart.,3,golfcart,Synonym
30,golf cart,carro de golf is a translation of golfcart.,3,golfcart,Synonym
31,golf cart,golfcart is a type of motor vehicle.,3,golfcart,IsA
32,golf cart,golf cart is a synonym of golfcart.,3,golfcart,Synonym
33,golf cart,carrinho de golfe is a translation of golfcart.,3,golfcart,Synonym
34,golf cart,golfauto is a translation of golfcart.,3,golfcart,Synonym
35,golf cart,golfcart is a type of golf equipment.,3,golfcart,IsA
36,hair dryer,a hairdryer is for drying hair.,3,hairdryer,UsedFor
37,hair dryer,a hairdryer is for styling hair.,3,hairdryer,UsedFor
38,hair dryer,a hairdryer is for melting ice.,3,hairdryer,UsedFor
39,hair dryer,You can use a hairdryer to dry your hair.,3,hairdryer,UsedFor
40,hair dryer,a hairdryer is used for blowing hot air.,3,hairdryer,UsedFor
41,hair dryer,You are likely to find a hairdryer in a hotel.,3,hairdryer,AtLocation
42,hair dryer,a hairdryer is for drying things.,3,hairdryer,UsedFor
43,hair dryer,You can use a hairdryer to blow dust off of dried flowers.,3,hairdryer,UsedFor
44,hair dryer,a hairdryer is for drying your hair after a shower.,3,hairdryer,UsedFor
45,hair dryer,A hairdryer is used for drying hair quickly.,3,hairdryer,UsedFor
46,hair dryer,You can use a hairdryer to dry the mirror.,3,hairdryer,UsedFor
47,hair dryer,You are likely to find a hairdryer in a beauty parlor.,3,hairdryer,AtLocation
48,hair dryer,a hairdryer is used for dusting dried flowers.,3,hairdryer,UsedFor
49,hair dryer,a hairdryer can short a socket.,3,hairdryer,CapableOf
50,hair dryer,You are likely to find a hairdryer in a hotel bathroom.,3,hairdryer,AtLocation
51,hair dryer,A hairdryer can be used to melt ice.,3,hairdryer,UsedFor
52,hair dryer,You are likely to find a hairdryer in a hotel bedroom.,3,hairdryer,AtLocation
53,hair dryer,a hairdryer is for thawing pipes.,3,hairdryer,UsedFor
54,hair dryer,a hairdryer is for drying clothes.,3,hairdryer,UsedFor
55,hair dryer,a hairdryer is for blowing out dust bunnies.,3,hairdryer,UsedFor
56,hair dryer,a hairdryer is for drying wet hair.,3,hairdryer,UsedFor
57,hair dryer,A hairdryer can dry hair.,3,hairdryer,CapableOf
58,hoop skirt,krynolina is a translation of hoopskirt.,3,hoopskirt,Synonym
59,hoop skirt,krinoliini is a translation of hoopskirt.,3,hoopskirt,Synonym
60,hoop skirt,faldiglia is a translation of hoopskirt.,3,hoopskirt,Synonym
61,hoop skirt,hoop is a part of hoopskirt.,3,hoopskirt,PartOf
62,hoop skirt,crinolina is a translation of hoopskirt.,3,hoopskirt,Synonym
63,hoop skirt,crinolina is a translation of hoopskirt.,3,hoopskirt,Synonym
64,hoop skirt,crinoline is a synonym of hoopskirt.,3,hoopskirt,Synonym
65,hoop skirt,crinoline is a translation of hoopskirt.,3,hoopskirt,Synonym
66,hoop skirt,vannehame is a translation of hoopskirt.,3,hoopskirt,Synonym
